model,factor,mult,threshold,reward,clicks
DepthFirst,1//3,3,156.0,49.07679,16.0
BreadthFirst,1//3,3,0.0,14.17059,1.0009
BreadthFirst,1//3,3,3.0,48.74079,11.41329
BreadthFirst,1//3,3,6.0,49.18116,12.99368
BreadthFirst,1//3,3,9.0,49.1289,14.27682
BreadthFirst,1//3,3,12.0,49.30797,14.29455
BreadthFirst,1//3,3,15.0,49.17432,14.39115
BreadthFirst,1//3,3,18.0,49.16589,14.46473
BreadthFirst,1//3,3,21.0,49.15467,14.49241
BreadthFirst,1//3,3,24.0,49.08168,14.59103
BreadthFirst,1//3,3,27.0,49.19517,14.6647
BreadthFirst,1//3,3,30.0,49.08228,14.69994
BreadthFirst,1//3,3,33.0,49.24116,14.82421
BreadthFirst,1//3,3,36.0,49.20282,14.92785
BreadthFirst,1//3,3,39.0,49.25472,14.94453
BreadthFirst,1//3,3,42.0,49.10121,15.01929
BreadthFirst,1//3,3,45.0,49.22595,15.06417
BreadthFirst,1//3,3,48.0,49.29666,15.08206
BreadthFirst,1//3,3,51.0,49.26798,15.13215
BreadthFirst,1//3,3,54.0,49.13841,15.18347
BreadthFirst,1//3,3,57.0,48.94596,15.20151
BreadthFirst,1//3,3,60.0,49.36053,15.2742
BreadthFirst,1//3,3,63.0,49.03452,15.33159
BreadthFirst,1//3,3,66.0,49.13163,15.34654
BreadthFirst,1//3,3,69.0,49.18326,15.38966
BreadthFirst,1//3,3,72.0,49.09854,15.42104
BreadthFirst,1//3,3,75.0,49.21554,15.43425
BreadthFirst,1//3,3,78.0,49.01373,15.4836
BreadthFirst,1//3,3,81.0,49.18638,15.52538
BreadthFirst,1//3,3,84.0,49.14951,15.54381
BreadthFirst,1//3,3,87.0,49.08459,15.61093
BreadthFirst,1//3,3,90.0,49.09497,15.67097
BreadthFirst,1//3,3,93.0,49.21668,15.68232
BreadthFirst,1//3,3,96.0,49.23123,15.71817
BreadthFirst,1//3,3,99.0,49.11816,15.74286
BreadthFirst,1//3,3,102.0,49.12959,15.75366
BreadthFirst,1//3,3,105.0,49.07313,15.78328
BreadthFirst,1//3,3,108.0,49.1928,15.8087
BreadthFirst,1//3,3,111.0,49.11069,15.82666
BreadthFirst,1//3,3,114.0,49.09791,15.86953
BreadthFirst,1//3,3,117.0,49.15575,15.90424
BreadthFirst,1//3,3,120.0,49.05459,15.91396
BreadthFirst,1//3,3,123.0,49.13961,15.93564
BreadthFirst,1//3,3,126.0,49.13763,15.94925
BreadthFirst,1//3,3,129.0,49.11384,15.95319
BreadthFirst,1//3,3,132.0,49.11612,15.96134
BreadthFirst,1//3,3,135.0,49.1613,15.96741
BreadthFirst,1//3,3,138.0,49.28799,15.96986
BreadthFirst,1//3,3,141.0,49.125,15.98244
BreadthFirst,1//3,3,144.0,49.20273,15.98966
BreadthFirst,1//3,3,147.0,49.09467,15.99135
BreadthFirst,1//3,3,150.0,49.19199,15.9966
BreadthFirst,1//3,3,153.0,49.08462,16.0
BreadthFirst,1//3,3,156.0,49.13301,16.0
BestFirst,2//1,3,0.0,2.47929,0.95478
BestFirst,2//1,3,3.0,19.49799,5.4038
BestFirst,2//1,3,6.0,20.02905,5.4722
BestFirst,2//1,3,9.0,20.83995,5.64749
BestFirst,2//1,3,12.0,23.30559,6.32045
BestFirst,2//1,3,15.0,25.89348,7.11635
BestFirst,2//1,3,18.0,26.76768,7.42372
BestFirst,2//1,3,21.0,27.33114,7.70203
BestFirst,2//1,3,24.0,27.6918,8.33336
BestFirst,2//1,3,27.0,28.17324,9.24145
BestFirst,2//1,3,30.0,28.46868,10.03586
BestFirst,2//1,3,33.0,28.63935,10.87929
BestFirst,2//1,3,36.0,28.67994,11.80627
BestFirst,2//1,3,39.0,28.79376,12.79579
BestFirst,2//1,3,42.0,28.78266,13.8582
BestFirst,2//1,3,45.0,28.78557,14.72849
BestFirst,2//1,3,48.0,28.74003,15.28062
BestFirst,2//1,3,51.0,28.72443,15.62694
BestFirst,2//1,3,54.0,28.77807,15.81374
BestFirst,2//1,3,57.0,28.79781,15.90838
BestFirst,2//1,3,60.0,28.80081,15.97439
BestFirst,2//1,3,63.0,28.77288,16.0
BestFirst,2//1,3,66.0,28.75374,16.0
BestFirst,2//1,3,69.0,28.73205,16.0
BestFirst,2//1,3,72.0,28.74663,16.0
BestFirst,2//1,3,75.0,28.746,16.0
BestFirst,2//1,3,78.0,28.73976,16.0
BestFirst,2//1,3,81.0,28.73013,16.0
BestFirst,2//1,3,84.0,28.76259,16.0
DepthFirst,2//1,3,0.0,2.69715,0.91242
DepthFirst,2//1,3,3.0,16.68168,4.25719
DepthFirst,2//1,3,6.0,18.03453,4.6637
DepthFirst,2//1,3,9.0,19.89582,5.23337
DepthFirst,2//1,3,12.0,22.28262,6.11258
DepthFirst,2//1,3,15.0,24.50727,7.13667
DepthFirst,2//1,3,18.0,25.91673,8.01711
DepthFirst,2//1,3,21.0,26.73663,8.72913
DepthFirst,2//1,3,24.0,27.44736,9.83205
DepthFirst,2//1,3,27.0,28.07643,11.09462
DepthFirst,2//1,3,30.0,28.42758,11.94353
DepthFirst,2//1,3,33.0,28.61412,12.85742
DepthFirst,2//1,3,36.0,28.70964,13.84603
DepthFirst,2//1,3,39.0,28.74495,14.48905
DepthFirst,2//1,3,42.0,28.74603,15.15902
DepthFirst,2//1,3,45.0,28.71279,15.69871
DepthFirst,2//1,3,48.0,28.74426,15.82642
DepthFirst,2//1,3,51.0,28.72542,15.90859
DepthFirst,2//1,3,54.0,28.76424,15.95185
DepthFirst,2//1,3,57.0,28.78905,15.97756
DepthFirst,2//1,3,60.0,28.73544,15.99337
DepthFirst,2//1,3,63.0,28.77258,16.0
DepthFirst,2//1,3,66.0,28.77717,16.0
DepthFirst,2//1,3,69.0,28.73877,16.0
DepthFirst,2//1,3,72.0,28.76238,16.0
DepthFirst,2//1,3,75.0,28.78911,16.0
DepthFirst,2//1,3,78.0,28.79553,16.0
DepthFirst,2//1,3,81.0,28.71861,16.0
DepthFirst,2//1,3,84.0,28.72803,16.0
BreadthFirst,2//1,3,0.0,1.69608,0.99722
BreadthFirst,2//1,3,3.0,21.91881,10.26473
BreadthFirst,2//1,3,6.0,23.58858,10.64176
BreadthFirst,2//1,3,9.0,25.04784,11.06417
BreadthFirst,2//1,3,12.0,26.39325,11.68128
BreadthFirst,2//1,3,15.0,27.89268,12.57975
BreadthFirst,2//1,3,18.0,28.26312,12.99375
BreadthFirst,2//1,3,21.0,28.60512,13.35646
BreadthFirst,2//1,3,24.0,28.76664,13.93549
BreadthFirst,2//1,3,27.0,28.75749,14.92281
BreadthFirst,2//1,3,30.0,28.80144,15.1443
BreadthFirst,2//1,3,33.0,28.7148,15.33375
BreadthFirst,2//1,3,36.0,28.7889,15.50221
BreadthFirst,2//1,3,39.0,28.72107,15.63772
BreadthFirst,2//1,3,42.0,28.81086,15.74596
BreadthFirst,2//1,3,45.0,28.78158,15.83251
BreadthFirst,2//1,3,48.0,28.74483,15.89182
BreadthFirst,2//1,3,51.0,28.7613,15.93852
BreadthFirst,2//1,3,54.0,28.75479,15.96937
BreadthFirst,2//1,3,57.0,28.76013,15.9869
BreadthFirst,2//1,3,60.0,28.77147,15.99684
BreadthFirst,2//1,3,63.0,28.74486,16.0
