model,factor,mult,threshold,reward,clicks
BestFirst,1//3,1,11.0,15.01975,6.29708
BestFirst,1//3,1,12.0,15.18543,6.45776
BestFirst,1//3,1,13.0,15.28253,6.64942
BestFirst,1//3,1,14.0,15.60391,7.34049
BestFirst,1//3,1,15.0,15.91557,7.93131
BestFirst,1//3,1,16.0,15.97241,8.12135
BestFirst,1//3,1,17.0,16.15029,8.74518
BestFirst,1//3,1,18.0,16.31448,9.25229
BestFirst,1//3,1,19.0,16.26783,9.29912
BestFirst,1//3,1,20.0,16.34631,9.46851
BestFirst,1//3,1,21.0,16.3423,9.62347
BestFirst,1//3,1,22.0,16.36018,9.82702
BestFirst,1//3,1,23.0,16.32253,10.49175
BestFirst,1//3,1,24.0,16.35837,11.05851
BestFirst,1//3,1,25.0,16.37935,11.24258
BestFirst,1//3,1,26.0,16.35302,11.88735
