model,factor,mult,cost,beta,reward,clicks
Optimal,1//3,1,0.0010898414799852864,100.00000000000004,16.39793,13.66301
Optimal,2//1,1,0.0010898414799852864,0.10000000000000002,4.77701,6.65678
Optimal,2//1,1,0.0010898414799852864,0.21544346900318845,6.62432,9.14973
Optimal,2//1,1,0.0010898414799852864,0.464158883361278,8.49053,11.68177
Optimal,2//1,1,0.0010898414799852864,1.0,9.20549,12.99308
Optimal,2//1,1,0.0010898414799852864,2.154434690031884,9.45835,13.71948
Optimal,2//1,1,0.0010898414799852864,4.641588833612779,9.56642,14.1589
Optimal,2//1,1,0.0010898414799852864,9.999999999999998,9.56508,14.44344
Optimal,2//1,1,0.0010898414799852864,21.544346900318835,9.59102,14.55228
Optimal,2//1,1,0.0010898414799852864,46.415888336127786,9.58394,14.5898
Optimal,2//1,1,0.0010898414799852864,100.00000000000004,9.60116,14.54789
Optimal,3//1,1,0.0010898414799852864,0.10000000000000002,13.38138,9.04651
Optimal,3//1,1,0.0010898414799852864,0.21544346900318845,17.25997,11.50242
Optimal,3//1,1,0.0010898414799852864,0.464158883361278,18.71079,12.77952
Optimal,3//1,1,0.0010898414799852864,1.0,19.2365,13.50002
Optimal,3//1,1,0.0010898414799852864,2.154434690031884,19.42271,14.00145
Optimal,3//1,1,0.0010898414799852864,4.641588833612779,19.4899,14.34011
Optimal,3//1,1,0.0010898414799852864,9.999999999999998,19.5244,14.54393
Optimal,3//1,1,0.0010898414799852864,21.544346900318835,19.52614,14.64605
Optimal,3//1,1,0.0010898414799852864,46.415888336127786,19.52106,14.65467
Optimal,3//1,1,0.0010898414799852864,100.00000000000004,19.5319,14.61547
Optimal,1//2,1,0.0011877544514965201,0.10000000000000002,5.4923,5.47439
Optimal,1//2,1,0.0011877544514965201,0.21544346900318845,6.32915,6.87257
Optimal,1//2,1,0.0011877544514965201,0.464158883361278,7.21502,8.85787
Optimal,1//2,1,0.0011877544514965201,1.0,7.82161,10.9326
Optimal,1//2,1,0.0011877544514965201,2.154434690031884,8.17905,12.56132
Optimal,1//2,1,0.0011877544514965201,4.641588833612779,8.29394,13.39047
Optimal,1//2,1,0.0011877544514965201,9.999999999999998,8.32701,13.75326
Optimal,1//2,1,0.0011877544514965201,21.544346900318835,8.34772,13.89284
Optimal,1//2,1,0.0011877544514965201,46.415888336127786,8.34235,13.87703
Optimal,1//2,1,0.0011877544514965201,100.00000000000004,8.32804,13.76964
Optimal,1//3,1,0.0011877544514965201,0.10000000000000002,12.86037,6.25748
Optimal,1//3,1,0.0011877544514965201,0.21544346900318845,14.4617,7.7904
Optimal,1//3,1,0.0011877544514965201,0.464158883361278,15.40628,9.49639
Optimal,1//3,1,0.0011877544514965201,1.0,15.90464,11.20008
Optimal,1//3,1,0.0011877544514965201,2.154434690031884,16.18654,12.61262
Optimal,1//3,1,0.0011877544514965201,4.641588833612779,16.35914,13.35501
Optimal,1//3,1,0.0011877544514965201,9.999999999999998,16.33776,13.675
Optimal,1//3,1,0.0011877544514965201,21.544346900318835,16.40373,13.7992
Optimal,1//3,1,0.0011877544514965201,46.415888336127786,16.39267,13.76645
Optimal,1//3,1,0.0011877544514965201,100.00000000000004,16.40819,13.63168
Optimal,2//1,1,0.0011877544514965201,0.10000000000000002,4.76733,6.66235
Optimal,2//1,1,0.0011877544514965201,0.21544346900318845,6.62566,9.16968
Optimal,2//1,1,0.0011877544514965201,0.464158883361278,8.47832,11.70175
Optimal,2//1,1,0.0011877544514965201,1.0,9.21469,13.01612
Optimal,2//1,1,0.0011877544514965201,2.154434690031884,9.45488,13.70874
Optimal,2//1,1,0.0011877544514965201,4.641588833612779,9.53983,14.15961
Optimal,2//1,1,0.0011877544514965201,9.999999999999998,9.57797,14.43057
Optimal,2//1,1,0.0011877544514965201,21.544346900318835,9.56738,14.56105
Optimal,2//1,1,0.0011877544514965201,46.415888336127786,9.58731,14.58775
Optimal,2//1,1,0.0011877544514965201,100.00000000000004,9.61584,14.51796
Optimal,3//1,1,0.0011877544514965201,0.10000000000000002,13.42865,9.07346
Optimal,3//1,1,0.0011877544514965201,0.21544346900318845,17.2393,11.50962
Optimal,3//1,1,0.0011877544514965201,0.464158883361278,18.7513,12.76957
Optimal,3//1,1,0.0011877544514965201,1.0,19.26299,13.50813
Optimal,3//1,1,0.0011877544514965201,2.154434690031884,19.44415,14.01232
Optimal,3//1,1,0.0011877544514965201,4.641588833612779,19.53113,14.32547
Optimal,3//1,1,0.0011877544514965201,9.999999999999998,19.53642,14.53989
Optimal,3//1,1,0.0011877544514965201,21.544346900318835,19.54064,14.64691
Optimal,3//1,1,0.0011877544514965201,46.415888336127786,19.55458,14.64272
Optimal,3//1,1,0.0011877544514965201,100.00000000000004,19.55258,14.59751
Optimal,1//2,1,0.001294464069278079,0.10000000000000002,5.47049,5.47369
Optimal,1//2,1,0.001294464069278079,0.21544346900318845,6.30576,6.85638
Optimal,1//2,1,0.001294464069278079,0.464158883361278,7.18024,8.84746
Optimal,1//2,1,0.001294464069278079,1.0,7.81018,10.93743
Optimal,1//2,1,0.001294464069278079,2.154434690031884,8.18554,12.54671
Optimal,1//2,1,0.001294464069278079,4.641588833612779,8.30946,13.40217
Optimal,1//2,1,0.001294464069278079,9.999999999999998,8.33772,13.75032
Optimal,1//2,1,0.001294464069278079,21.544346900318835,8.34784,13.90143
Optimal,1//2,1,0.001294464069278079,46.415888336127786,8.35398,13.86951
Optimal,1//2,1,0.001294464069278079,100.00000000000004,8.35145,13.73568
Optimal,1//3,1,0.001294464069278079,0.10000000000000002,12.90963,6.252
Optimal,1//3,1,0.001294464069278079,0.21544346900318845,14.45891,7.79826
Optimal,1//3,1,0.001294464069278079,0.464158883361278,15.38413,9.50469
Optimal,1//3,1,0.001294464069278079,1.0,15.89901,11.20661
Optimal,1//3,1,0.001294464069278079,2.154434690031884,16.22346,12.60804
Optimal,1//3,1,0.001294464069278079,4.641588833612779,16.34002,13.34844
Optimal,1//3,1,0.001294464069278079,9.999999999999998,16.37803,13.68306
Optimal,1//3,1,0.001294464069278079,21.544346900318835,16.44069,13.79738
Optimal,1//3,1,0.001294464069278079,46.415888336127786,16.37758,13.76473
Optimal,1//3,1,0.001294464069278079,100.00000000000004,16.35701,13.60519
Optimal,2//1,1,0.001294464069278079,0.10000000000000002,4.75745,6.65626
Optimal,2//1,1,0.001294464069278079,0.21544346900318845,6.60809,9.12748
Optimal,2//1,1,0.001294464069278079,0.464158883361278,8.47968,11.67886
Optimal,2//1,1,0.001294464069278079,1.0,9.21978,12.99059
Optimal,2//1,1,0.001294464069278079,2.154434690031884,9.46089,13.72019
Optimal,2//1,1,0.001294464069278079,4.641588833612779,9.55262,14.16322
Optimal,2//1,1,0.001294464069278079,9.999999999999998,9.5746,14.43262
Optimal,2//1,1,0.001294464069278079,21.544346900318835,9.58119,14.55497
Optimal,2//1,1,0.001294464069278079,46.415888336127786,9.58851,14.57239
Optimal,2//1,1,0.001294464069278079,100.00000000000004,9.57974,14.52877
Optimal,3//1,1,0.001294464069278079,0.10000000000000002,13.37934,9.04779
Optimal,3//1,1,0.001294464069278079,0.21544346900318845,17.23743,11.50464
Optimal,3//1,1,0.001294464069278079,0.464158883361278,18.74788,12.7673
Optimal,3//1,1,0.001294464069278079,1.0,19.25037,13.52063
Optimal,3//1,1,0.001294464069278079,2.154434690031884,19.44296,14.01244
Optimal,3//1,1,0.001294464069278079,4.641588833612779,19.49774,14.32715
Optimal,3//1,1,0.001294464069278079,9.999999999999998,19.51519,14.53211
Optimal,3//1,1,0.001294464069278079,21.544346900318835,19.52137,14.62933
Optimal,3//1,1,0.001294464069278079,46.415888336127786,19.55246,14.64473
Optimal,3//1,1,0.001294464069278079,100.00000000000004,19.53011,14.58899
Optimal,1//2,1,0.001410760637049799,0.10000000000000002,5.46594,5.45848
Optimal,1//2,1,0.001410760637049799,0.21544346900318845,6.31022,6.86989
Optimal,1//2,1,0.001410760637049799,0.464158883361278,7.19865,8.83433
Optimal,1//2,1,0.001410760637049799,1.0,7.81915,10.93696
Optimal,1//2,1,0.001410760637049799,2.154434690031884,8.18263,12.54633
Optimal,1//2,1,0.001410760637049799,4.641588833612779,8.3091,13.39462
Optimal,1//2,1,0.001410760637049799,9.999999999999998,8.34454,13.76935
Optimal,1//2,1,0.001410760637049799,21.544346900318835,8.33825,13.89034
Optimal,1//2,1,0.001410760637049799,46.415888336127786,8.35341,13.852
Optimal,1//2,1,0.001410760637049799,100.00000000000004,8.34865,13.71848
Optimal,1//3,1,0.001410760637049799,0.10000000000000002,12.87332,6.27458
Optimal,1//3,1,0.001410760637049799,0.21544346900318845,14.43976,7.78486
Optimal,1//3,1,0.001410760637049799,0.464158883361278,15.41447,9.48802
Optimal,1//3,1,0.001410760637049799,1.0,15.83449,11.19891
Optimal,1//3,1,0.001410760637049799,2.154434690031884,16.21029,12.60954
Optimal,1//3,1,0.001410760637049799,4.641588833612779,16.3467,13.34239
Optimal,1//3,1,0.001410760637049799,9.999999999999998,16.35897,13.67195
Optimal,1//3,1,0.001410760637049799,21.544346900318835,16.36231,13.79349
Optimal,1//3,1,0.001410760637049799,46.415888336127786,16.39848,13.73673
Optimal,1//3,1,0.001410760637049799,100.00000000000004,16.40775,13.58446
Optimal,2//1,1,0.001410760637049799,0.10000000000000002,4.74065,6.65334
Optimal,2//1,1,0.001410760637049799,0.21544346900318845,6.62105,9.14554
Optimal,2//1,1,0.001410760637049799,0.464158883361278,8.47908,11.69173
Optimal,2//1,1,0.001410760637049799,1.0,9.22766,12.98282
Optimal,2//1,1,0.001410760637049799,2.154434690031884,9.47095,13.70885
Optimal,2//1,1,0.001410760637049799,4.641588833612779,9.56755,14.14874
Optimal,2//1,1,0.001410760637049799,9.999999999999998,9.55271,14.42809
Optimal,2//1,1,0.001410760637049799,21.544346900318835,9.58088,14.55045
Optimal,2//1,1,0.001410760637049799,46.415888336127786,9.5808,14.57106
Optimal,2//1,1,0.001410760637049799,100.00000000000004,9.58603,14.51946
Optimal,3//1,1,0.001410760637049799,0.10000000000000002,13.36435,9.06678
Optimal,3//1,1,0.001410760637049799,0.21544346900318845,17.2563,11.51406
Optimal,3//1,1,0.001410760637049799,0.464158883361278,18.71885,12.77822
Optimal,3//1,1,0.001410760637049799,1.0,19.24538,13.52004
Optimal,3//1,1,0.001410760637049799,2.154434690031884,19.45681,14.00258
Optimal,3//1,1,0.001410760637049799,4.641588833612779,19.50768,14.33271
Optimal,3//1,1,0.001410760637049799,9.999999999999998,19.52957,14.53739
Optimal,3//1,1,0.001410760637049799,21.544346900318835,19.51131,14.63812
Optimal,3//1,1,0.001410760637049799,46.415888336127786,19.50313,14.65176
Optimal,3//1,1,0.001410760637049799,100.00000000000004,19.53162,14.57413
Optimal,1//2,1,0.001537505460587338,0.10000000000000002,5.47909,5.47195
Optimal,1//2,1,0.001537505460587338,0.21544346900318845,6.31659,6.87267
Optimal,1//2,1,0.001537505460587338,0.464158883361278,7.2,8.82779
Optimal,1//2,1,0.001537505460587338,1.0,7.82159,10.92613
Optimal,1//2,1,0.001537505460587338,2.154434690031884,8.18194,12.54214
Optimal,1//2,1,0.001537505460587338,4.641588833612779,8.31584,13.38572
Optimal,1//2,1,0.001537505460587338,9.999999999999998,8.32384,13.75503
Optimal,1//2,1,0.001537505460587338,21.544346900318835,8.35989,13.87125
Optimal,1//2,1,0.001537505460587338,46.415888336127786,8.34996,13.84421
Optimal,1//2,1,0.001537505460587338,100.00000000000004,8.34622,13.68171
Optimal,1//3,1,0.001537505460587338,0.10000000000000002,12.92008,6.27831
Optimal,1//3,1,0.001537505460587338,0.21544346900318845,14.44118,7.80011
Optimal,1//3,1,0.001537505460587338,0.464158883361278,15.41409,9.50623
Optimal,1//3,1,0.001537505460587338,1.0,15.91148,11.2119
Optimal,1//3,1,0.001537505460587338,2.154434690031884,16.22421,12.60549
Optimal,1//3,1,0.001537505460587338,4.641588833612779,16.37385,13.36024
Optimal,1//3,1,0.001537505460587338,9.999999999999998,16.37009,13.68626
Optimal,1//3,1,0.001537505460587338,21.544346900318835,16.37621,13.78656
Optimal,1//3,1,0.001537505460587338,46.415888336127786,16.36532,13.73636
Optimal,1//3,1,0.001537505460587338,100.00000000000004,16.35488,13.56816
Optimal,2//1,1,0.001537505460587338,0.10000000000000002,4.75585,6.65733
Optimal,2//1,1,0.001537505460587338,0.21544346900318845,6.6308,9.14135
Optimal,2//1,1,0.001537505460587338,0.464158883361278,8.47128,11.69821
Optimal,2//1,1,0.001537505460587338,1.0,9.23246,12.98362
Optimal,2//1,1,0.001537505460587338,2.154434690031884,9.46535,13.71974
Optimal,2//1,1,0.001537505460587338,4.641588833612779,9.54456,14.17264
Optimal,2//1,1,0.001537505460587338,9.999999999999998,9.59072,14.41212
Optimal,2//1,1,0.001537505460587338,21.544346900318835,9.57631,14.55679
Optimal,2//1,1,0.001537505460587338,46.415888336127786,9.58597,14.56134
Optimal,2//1,1,0.001537505460587338,100.00000000000004,9.5822,14.49747
Optimal,3//1,1,0.001537505460587338,0.10000000000000002,13.34335,9.06658
Optimal,3//1,1,0.001537505460587338,0.21544346900318845,17.2763,11.51752
Optimal,3//1,1,0.001537505460587338,0.464158883361278,18.73163,12.76799
Optimal,3//1,1,0.001537505460587338,1.0,19.2365,13.51284
Optimal,3//1,1,0.001537505460587338,2.154434690031884,19.43009,14.01383
Optimal,3//1,1,0.001537505460587338,4.641588833612779,19.5349,14.32704
Optimal,3//1,1,0.001537505460587338,9.999999999999998,19.51736,14.5345
Optimal,3//1,1,0.001537505460587338,21.544346900318835,19.53392,14.6296
Optimal,3//1,1,0.001537505460587338,46.415888336127786,19.54584,14.62924
Optimal,3//1,1,0.001537505460587338,100.00000000000004,19.49117,14.57915
Optimal,1//2,1,0.0016756372266519635,0.10000000000000002,5.47003,5.46062
Optimal,1//2,1,0.0016756372266519635,0.21544346900318845,6.29529,6.83871
Optimal,1//2,1,0.0016756372266519635,0.464158883361278,7.22535,8.84469
Optimal,1//2,1,0.0016756372266519635,1.0,7.82004,10.9376
Optimal,1//2,1,0.0016756372266519635,2.154434690031884,8.15903,12.55162
Optimal,1//2,1,0.0016756372266519635,4.641588833612779,8.30227,13.39054
Optimal,1//2,1,0.0016756372266519635,9.999999999999998,8.33892,13.75923
Optimal,1//2,1,0.0016756372266519635,21.544346900318835,8.34155,13.86278
Optimal,1//2,1,0.0016756372266519635,46.415888336127786,8.36988,13.83299
Optimal,1//2,1,0.0016756372266519635,100.00000000000004,8.36164,13.65146
Optimal,1//3,1,0.0016756372266519635,0.10000000000000002,12.86727,6.28804
Optimal,1//3,1,0.0016756372266519635,0.21544346900318845,14.48547,7.80993
Optimal,1//3,1,0.0016756372266519635,0.464158883361278,15.39238,9.48151
Optimal,1//3,1,0.0016756372266519635,1.0,15.85488,11.20869
Optimal,1//3,1,0.0016756372266519635,2.154434690031884,16.18317,12.61091
Optimal,1//3,1,0.0016756372266519635,4.641588833612779,16.31686,13.35531
Optimal,1//3,1,0.0016756372266519635,9.999999999999998,16.38306,13.67682
Optimal,1//3,1,0.0016756372266519635,21.544346900318835,16.39905,13.76934
Optimal,1//3,1,0.0016756372266519635,46.415888336127786,16.39083,13.71859
Optimal,1//3,1,0.0016756372266519635,100.00000000000004,16.41576,13.51526
Optimal,2//1,1,0.0016756372266519635,0.10000000000000002,4.78982,6.68559
Optimal,2//1,1,0.0016756372266519635,0.21544346900318845,6.6448,9.16216
Optimal,2//1,1,0.0016756372266519635,0.464158883361278,8.43662,11.70129
Optimal,2//1,1,0.0016756372266519635,1.0,9.23315,13.01109
Optimal,2//1,1,0.0016756372266519635,2.154434690031884,9.44667,13.73072
Optimal,2//1,1,0.0016756372266519635,4.641588833612779,9.5447,14.1617
Optimal,2//1,1,0.0016756372266519635,9.999999999999998,9.57367,14.42193
Optimal,2//1,1,0.0016756372266519635,21.544346900318835,9.60009,14.53635
Optimal,2//1,1,0.0016756372266519635,46.415888336127786,9.58052,14.55571
Optimal,2//1,1,0.0016756372266519635,100.00000000000004,9.60456,14.4612
Optimal,3//1,1,0.0016756372266519635,0.10000000000000002,13.36742,9.06663
Optimal,3//1,1,0.0016756372266519635,0.21544346900318845,17.23561,11.4969
Optimal,3//1,1,0.0016756372266519635,0.464158883361278,18.72612,12.7744
Optimal,3//1,1,0.0016756372266519635,1.0,19.28155,13.50873
Optimal,3//1,1,0.0016756372266519635,2.154434690031884,19.44638,14.01857
Optimal,3//1,1,0.0016756372266519635,4.641588833612779,19.50893,14.33319
Optimal,3//1,1,0.0016756372266519635,9.999999999999998,19.5084,14.52928
Optimal,3//1,1,0.0016756372266519635,21.544346900318835,19.5392,14.62029
Optimal,3//1,1,0.0016756372266519635,46.415888336127786,19.51044,14.62851
Optimal,3//1,1,0.0016756372266519635,100.00000000000004,19.53317,14.5583
Optimal,1//2,1,0.0018261789550128177,0.10000000000000002,5.45779,5.46271
Optimal,1//2,1,0.0018261789550128177,0.21544346900318845,6.31445,6.8774
Optimal,1//2,1,0.0018261789550128177,0.464158883361278,7.21013,8.81989
Optimal,1//2,1,0.0018261789550128177,1.0,7.80669,10.93673
Optimal,1//2,1,0.0018261789550128177,2.154434690031884,8.14761,12.54961
Optimal,1//2,1,0.0018261789550128177,4.641588833612779,8.28426,13.38783
Optimal,1//2,1,0.0018261789550128177,9.999999999999998,8.33552,13.7592
Optimal,1//2,1,0.0018261789550128177,21.544346900318835,8.36672,13.86715
Optimal,1//2,1,0.0018261789550128177,46.415888336127786,8.36009,13.8205
Optimal,1//2,1,0.0018261789550128177,100.00000000000004,8.35547,13.6263
Optimal,1//3,1,0.0018261789550128177,0.10000000000000002,12.90669,6.27227
Optimal,1//3,1,0.0018261789550128177,0.21544346900318845,14.45456,7.81783
Optimal,1//3,1,0.0018261789550128177,0.464158883361278,15.41542,9.49284
Optimal,1//3,1,0.0018261789550128177,1.0,15.91047,11.22556
Optimal,1//3,1,0.0018261789550128177,2.154434690031884,16.19473,12.60056
Optimal,1//3,1,0.0018261789550128177,4.641588833612779,16.32467,13.35222
Optimal,1//3,1,0.0018261789550128177,9.999999999999998,16.34606,13.66485
Optimal,1//3,1,0.0018261789550128177,21.544346900318835,16.33518,13.77178
Optimal,1//3,1,0.0018261789550128177,46.415888336127786,16.35612,13.70018
Optimal,1//3,1,0.0018261789550128177,100.00000000000004,16.39105,13.48641
Optimal,2//1,1,0.0018261789550128177,0.10000000000000002,4.76099,6.63917
Optimal,2//1,1,0.0018261789550128177,0.21544346900318845,6.62145,9.15078
Optimal,2//1,1,0.0018261789550128177,0.464158883361278,8.45709,11.68154
Optimal,2//1,1,0.0018261789550128177,1.0,9.21984,13.01629
Optimal,2//1,1,0.0018261789550128177,2.154434690031884,9.44192,13.71015
Optimal,2//1,1,0.0018261789550128177,4.641588833612779,9.5471,14.15054
Optimal,2//1,1,0.0018261789550128177,9.999999999999998,9.57737,14.41896
Optimal,2//1,1,0.0018261789550128177,21.544346900318835,9.59152,14.534
Optimal,2//1,1,0.0018261789550128177,46.415888336127786,9.5862,14.55776
Optimal,2//1,1,0.0018261789550128177,100.00000000000004,9.59364,14.45937
Optimal,3//1,1,0.0018261789550128177,0.10000000000000002,13.41618,9.08217
Optimal,3//1,1,0.0018261789550128177,0.21544346900318845,17.26342,11.48119
Optimal,3//1,1,0.0018261789550128177,0.464158883361278,18.73889,12.7569
Optimal,3//1,1,0.0018261789550128177,1.0,19.22088,13.52185
Optimal,3//1,1,0.0018261789550128177,2.154434690031884,19.43253,14.0092
Optimal,3//1,1,0.0018261789550128177,4.641588833612779,19.51809,14.32934
Optimal,3//1,1,0.0018261789550128177,9.999999999999998,19.52039,14.54164
Optimal,3//1,1,0.0018261789550128177,21.544346900318835,19.56521,14.62169
Optimal,3//1,1,0.0018261789550128177,46.415888336127786,19.58066,14.61926
Optimal,3//1,1,0.0018261789550128177,100.00000000000004,19.54957,14.52822
Optimal,1//2,1,0.0019902455750491523,0.10000000000000002,5.46552,5.46856
Optimal,1//2,1,0.0019902455750491523,0.21544346900318845,6.29465,6.87132
Optimal,1//2,1,0.0019902455750491523,0.464158883361278,7.18701,8.83148
Optimal,1//2,1,0.0019902455750491523,1.0,7.816,10.92969
Optimal,1//2,1,0.0019902455750491523,2.154434690031884,8.16917,12.54232
Optimal,1//2,1,0.0019902455750491523,4.641588833612779,8.28644,13.39626
Optimal,1//2,1,0.0019902455750491523,9.999999999999998,8.34505,13.73722
Optimal,1//2,1,0.0019902455750491523,21.544346900318835,8.33969,13.85393
Optimal,1//2,1,0.0019902455750491523,46.415888336127786,8.36962,13.80501
Optimal,1//2,1,0.0019902455750491523,100.00000000000004,8.34384,13.58461
Optimal,1//3,1,0.0019902455750491523,0.10000000000000002,12.89198,6.28942
Optimal,1//3,1,0.0019902455750491523,0.21544346900318845,14.46004,7.83169
Optimal,1//3,1,0.0019902455750491523,0.464158883361278,15.3748,9.47508
Optimal,1//3,1,0.0019902455750491523,1.0,15.91183,11.21206
Optimal,1//3,1,0.0019902455750491523,2.154434690031884,16.22573,12.57904
Optimal,1//3,1,0.0019902455750491523,4.641588833612779,16.38169,13.34384
Optimal,1//3,1,0.0019902455750491523,9.999999999999998,16.43141,13.66429
Optimal,1//3,1,0.0019902455750491523,21.544346900318835,16.40589,13.76419
Optimal,1//3,1,0.0019902455750491523,46.415888336127786,16.36129,13.69633
Optimal,1//3,1,0.0019902455750491523,100.00000000000004,16.41429,13.46064
Optimal,2//1,1,0.0019902455750491523,0.10000000000000002,4.74919,6.64551
Optimal,2//1,1,0.0019902455750491523,0.21544346900318845,6.61438,9.14297
Optimal,2//1,1,0.0019902455750491523,0.464158883361278,8.4845,11.70955
Optimal,2//1,1,0.0019902455750491523,1.0,9.22315,13.01801
Optimal,2//1,1,0.0019902455750491523,2.154434690031884,9.46649,13.72142
Optimal,2//1,1,0.0019902455750491523,4.641588833612779,9.55249,14.15429
Optimal,2//1,1,0.0019902455750491523,9.999999999999998,9.58261,14.42094
Optimal,2//1,1,0.0019902455750491523,21.544346900318835,9.58916,14.53217
Optimal,2//1,1,0.0019902455750491523,46.415888336127786,9.58049,14.54829
Optimal,2//1,1,0.0019902455750491523,100.00000000000004,9.57372,14.45909
Optimal,3//1,1,0.0019902455750491523,0.10000000000000002,13.34308,9.05278
Optimal,3//1,1,0.0019902455750491523,0.21544346900318845,17.30263,11.52645
Optimal,3//1,1,0.0019902455750491523,0.464158883361278,18.72157,12.76147
Optimal,3//1,1,0.0019902455750491523,1.0,19.22771,13.50727
Optimal,3//1,1,0.0019902455750491523,2.154434690031884,19.45379,13.9988
Optimal,3//1,1,0.0019902455750491523,4.641588833612779,19.51344,14.30994
Optimal,3//1,1,0.0019902455750491523,9.999999999999998,19.50061,14.53637
Optimal,3//1,1,0.0019902455750491523,21.544346900318835,19.5429,14.62091
Optimal,3//1,1,0.0019902455750491523,46.415888336127786,19.54523,14.6094
Optimal,3//1,1,0.0019902455750491523,100.00000000000004,19.53756,14.52335
Optimal,1//2,1,0.002169052183045737,0.10000000000000002,5.4833,5.48558
Optimal,1//2,1,0.002169052183045737,0.21544346900318845,6.30892,6.85046
