model,factor,mult,cost,reward,clicks
Optimal,1//3,1,0.7390722033525785,14.60901,3.18478
Optimal,3//1,1,0.7390722033525785,18.55778,7.77242
Optimal,1//3,1,0.8111308307896883,14.47992,2.9159
Optimal,3//1,1,0.8111308307896883,18.18071,7.28859
Optimal,1//3,1,0.8902150854450388,14.42196,2.92375
Optimal,3//1,1,0.8902150854450388,18.07353,7.15509
Optimal,1//3,1,0.9770099572992269,14.43681,2.91748
Optimal,3//1,1,0.9770099572992269,18.0614,7.13854
Optimal,1//3,1,1.0722672220103238,14.45349,2.92086
Optimal,3//1,1,1.0722672220103238,17.86198,6.92951
Optimal,1//3,1,1.1768119524349985,14.45601,2.91678
Optimal,3//1,1,1.1768119524349985,17.65303,6.71944
Optimal,1//3,1,1.2915496650148848,14.41536,2.92315
Optimal,3//1,1,1.2915496650148848,17.59105,6.71549
Optimal,1//3,1,1.4174741629268057,14.44401,2.91501
Optimal,3//1,1,1.4174741629268057,17.28366,6.48564
Optimal,1//3,1,1.555676143930473,14.43624,2.92429
Optimal,3//1,1,1.555676143930473,16.98242,6.28333
Optimal,1//3,1,1.7073526474706915,14.44092,2.92605
Optimal,3//1,1,1.7073526474706915,16.7039,6.10367
Optimal,1//3,1,1.8738174228603859,14.44419,2.9152
Optimal,3//1,1,1.8738174228603859,16.39494,5.93772
Optimal,1//3,1,2.056512308348653,14.41422,2.9285
Optimal,3//1,1,2.056512308348653,15.78289,5.62837
Optimal,1//3,1,2.257019719633921,11.80791,1.74792
Optimal,3//1,1,2.257019719633921,14.42093,4.985
Optimal,1//3,1,2.477076355991713,11.84292,1.74713
Optimal,3//1,1,2.477076355991713,14.38065,4.9874
Optimal,1//3,1,2.718588242732942,11.8134,1.75051
Optimal,3//1,1,2.718588242732942,13.83475,4.76875
Optimal,1//3,1,2.9836472402833425,11.77389,1.75042
Optimal,3//1,1,2.9836472402833425,0.0,0.0
Optimal,1//3,1,3.274549162877734,11.80422,1.74878
Optimal,3//1,1,3.274549162877734,0.0,0.0
Optimal,1//3,1,3.593813663804629,11.79252,1.74954
Optimal,3//1,1,3.593813663804629,0.0,0.0
Optimal,1//3,1,3.944206059437659,11.80782,1.74842
Optimal,3//1,1,3.944206059437659,0.0,0.0
Optimal,1//3,1,4.3287612810830645,11.81124,1.74598
Optimal,3//1,1,4.3287612810830645,0.0,0.0
Optimal,1//3,1,4.750810162102806,11.79567,1.75068
Optimal,3//1,1,4.750810162102806,0.0,0.0
Optimal,1//3,1,5.21400828799969,11.84418,1.75079
Optimal,3//1,1,5.21400828799969,0.0,0.0
Optimal,1//3,1,5.722367659350225,11.83185,1.74743
Optimal,3//1,1,5.722367659350225,0.0,0.0
Optimal,1//3,1,6.280291441834264,11.83527,1.7558
Optimal,3//1,1,6.280291441834264,0.0,0.0
Optimal,1//3,1,6.892612104349702,0.0,0.0
Optimal,3//1,1,6.892612104349702,0.0,0.0
Optimal,1//3,1,7.564633275546298,0.0,0.0
Optimal,3//1,1,7.564633275546298,0.0,0.0
Optimal,1//3,1,8.30217568131976,0.0,0.0
Optimal,3//1,1,8.30217568131976,0.0,0.0
Optimal,1//3,1,9.111627561154913,0.0,0.0
Optimal,3//1,1,9.111627561154913,0.0,0.0
Optimal,1//3,1,10.00000000000001,0.0,0.0
Optimal,3//1,1,10.00000000000001,0.0,0.0
Optimal,1//3,1,1000.0,0.0,0.0
Optimal,3//1,1,1000.0,0.0,0.0
