model,factor,mult,threshold,reward,clicks
BreadthFirst,1//2,1,0.1,0.0,0.0
BreadthFirst,1//3,1,0.1,0.0,0.0
BreadthFirst,2//1,1,0.1,0.0,0.0
BreadthFirst,3//1,1,0.1,0.0,0.0
BreadthFirst,1//2,2,0.1,0.0,0.0
BreadthFirst,1//3,2,0.1,0.0,0.0
BreadthFirst,2//1,2,0.1,0.0,0.0
BreadthFirst,3//1,2,0.1,0.0,0.0
BreadthFirst,1//2,3,0.1,0.0,0.0
BreadthFirst,1//3,3,0.1,0.0,0.0
BreadthFirst,2//1,3,0.1,0.0,0.0
BreadthFirst,3//1,3,0.1,0.0,0.0
BreadthFirst,1//2,1,1.1,6.21928,4.0
BreadthFirst,1//3,1,1.1,14.01534,4.0
BreadthFirst,2//1,1,1.1,1.55236,4.0
BreadthFirst,3//1,1,1.1,1.55275,4.0
BreadthFirst,1//2,2,1.1,12.42296,4.0
BreadthFirst,1//3,2,1.1,27.9963,4.0
BreadthFirst,2//1,2,1.1,3.11098,4.0
BreadthFirst,3//1,2,1.1,3.11258,4.0
BreadthFirst,1//2,3,1.1,18.69528,4.0
BreadthFirst,1//3,3,1.1,41.9391,4.0
BreadthFirst,2//1,3,1.1,4.65939,4.0
BreadthFirst,3//1,3,1.1,4.659,4.0
BreadthFirst,1//2,1,2.1,7.32636,8.0
BreadthFirst,1//3,1,2.1,15.37176,8.0
BreadthFirst,2//1,1,2.1,3.66675,8.0
BreadthFirst,3//1,1,2.1,5.12717,8.0
BreadthFirst,1//2,2,2.1,14.6404,8.0
BreadthFirst,1//3,2,2.1,30.83382,8.0
BreadthFirst,2//1,2,2.1,7.33156,8.0
BreadthFirst,3//1,2,2.1,10.25988,8.0
BreadthFirst,1//2,3,2.1,21.96726,8.0
BreadthFirst,1//3,3,2.1,46.13085,8.0
BreadthFirst,2//1,3,2.1,10.96467,8.0
BreadthFirst,3//1,3,2.1,15.34716,8.0
BreadthFirst,1//2,1,3.1,8.37785,16.0
BreadthFirst,1//3,1,3.1,16.4232,16.0
BreadthFirst,2//1,1,3.1,9.58812,16.0
BreadthFirst,3//1,1,3.1,19.54481,16.0
BreadthFirst,1//2,2,3.1,16.68248,16.0
BreadthFirst,1//3,2,3.1,32.7539,16.0
BreadthFirst,2//1,2,3.1,19.17984,16.0
BreadthFirst,3//1,2,3.1,39.0998,16.0
BreadthFirst,1//2,3,3.1,25.04943,16.0
BreadthFirst,1//3,3,3.1,49.01082,16.0
BreadthFirst,2//1,3,3.1,28.70487,16.0
BreadthFirst,3//1,3,3.1,58.64982,16.0
