wid,model,nll,θ_depth,β_depth,β_lead,θ_sat,β_click,β_sat,θ_lead,ε
w09ef317,BreadthFirst,112.10962471827317,7.701751116106883e-16,6.099720497794423e-15,0.3201562717399076,1.6686874454149495e-13,0.09096596038616962,3.3795595357216557e-16,3.8725632254722493,0.0010000000001887752
w0c47aeb,BreadthFirst,0.9875541281636618,2.3464977076557626e-17,2.9999999999999996,4.928184818909941e-16,2.0787365564271657e-14,1.58106049501857e-15,4.928047930855997e-16,2.0787550627743523e-14,0.0010000000000000002
w1709267,BreadthFirst,289.4492396546121,6.445864700043422e-21,0.7023271528015301,0.3468359883042634,1.5723536242424496,4.382641663287366e-22,0.15900950408980222,29.99999999999999,0.001000000000000007
w1bbb0ad,BreadthFirst,208.50051680086492,2.710937536544329e-18,2.606874101222729,0.561678871814644,1.2523484573608463e-12,8.76830520580393e-19,0.2924943645926552,26.234648822353297,0.033228726765693765
w20c5bf9,BreadthFirst,151.26824827419878,1.9924417487203618,2.9999999999999996,0.2380511343291296,2.1235591824868886e-15,0.014660209638445,0.1694064176912026,1.0712792107163296e-12,0.0010000000000000002
w230c19e,BreadthFirst,0.9875541281636618,2.3464977076557626e-17,2.9999999999999996,4.928184818909941e-16,2.0787365564271657e-14,1.58106049501857e-15,4.928047930855997e-16,2.0787550627743523e-14,0.0010000000000000002
w24fe8f8,BreadthFirst,249.20196783298292,2.717621050845548e-12,1.9752567777890573,0.2803415793783263,29.999999999970576,0.03869997671829471,0.30257196665680164,12.2050078629542,0.0010000000000001822
w27225aa,BreadthFirst,226.57100601336327,3.1825514661723577,2.5552745920713718,0.24437461249756615,3.2154332182872972e-6,1.8411893530673224e-13,0.1900378690781083,3.975666915808402e-6,0.0010000000006470345
w29cdd9f,BreadthFirst,16.40257563045821,7.214631255389766e-17,1.5544497001307114,0.6898589020912376,2.51969671841759e-15,2.312565755593864e-20,2.3592079698192416e-20,3.5695160027080537e-16,0.0010000000000000002
w2b6ff87,BreadthFirst,218.1473941656705,1.655127286142273e-11,1.055257208448236,0.24391065068329668,5.72395471273692e-12,3.8778419594805306e-17,0.041706138766723605,22.83585323490576,0.0010000000000003311
w2d73732,BreadthFirst,238.06331804916138,3.015772507055455e-16,1.7368379583952627,0.3989374058873565,5.002419391047117e-12,1.8545586810619382e-17,0.2077422446806255,24.315389582601256,0.0010000000000000382
w2f752f8,BreadthFirst,196.1045350821641,7.250686497574605e-13,1.4572784621207502e-16,2.9999999999999987,4.149925495642487e-12,1.0491183200862685e-16,0.9408646918245036,12.082344169694574,0.10514595246529047
