wid,model,nll,cost,β,ε
w09ef317,Optimal,101.02488118161713,0.5,43.55573473848195,0.42275294048124545
w0c47aeb,Optimal,2.077875780359108e-5,100.0,0.15754395291315404,4.910565627314076e-16
w1709267,Optimal,256.65208742204976,0.5,3.9445585676098847,1.7288640433895573e-15
w1bbb0ad,Optimal,138.73307036398867,0.55,18.14518534432712,0.09916281717257917
w20c5bf9,Optimal,142.39200512776713,1.95,3.6413843438295386,0.326247071566096
w230c19e,Optimal,2.077875780359108e-5,100.0,0.15754395291315404,4.910565627314076e-16
w24fe8f8,Optimal,181.42266248461289,0.3,12.21797785486767,2.1210598610827083e-18
w27225aa,Optimal,155.79308043550662,1.25,6.437305249734594,0.09247540338181214
w29cdd9f,Optimal,16.44000125461982,100.0,0.031088749135120258,2.1470342827244792e-14
w2b6ff87,Optimal,180.86038859007616,1.05,10.636545703666274,0.3048985326078882
w2d73732,Optimal,172.53139642919618,1.05,5.749393840145738,0.12162406768419265
w2f752f8,Optimal,164.1584469069067,1.35,4.733209891796675,0.19559162524208296
w353ba70,Optimal,143.80058182026875,1.7,2.402715459271513,0.08212229441828883
w3577f1b,Optimal,171.36806149543028,0.3,27.805468888206644,0.061378844618315415
w41284a9,Optimal,194.1041094535585,0.35,49.99999999999997,0.15864285541920403
w4cc191d,Optimal,110.60066835172258,1.05,14.770575595441366,0.022138766542569542
w511d3a1,Optimal,273.80924360644343,0.65,1.976046620553133,3.240244327636654e-16
w52faa3e,Optimal,218.91599091813563,0.3,49.99999999999979,0.28773248992721995
w5310e61,Optimal,175.10941426033904,0.45,6.983985751466247,8.450953109381632e-19
w5387968,Optimal,245.6176413763033,0.75,3.1003544513855625,0.041777173629845676
w560b89c,Optimal,252.29726264705613,0.3,49.99999999999999,0.6267908902300664
w56b4fe0,Optimal,121.76384065872216,1.4,13.684682908836493,0.34022156921451036
w5bb42cf,Optimal,103.8201585847368,2.65,1.1498536860189579,0.017658619654111796
w5cb6d34,Optimal,172.1358032971668,0.3,21.880711509710558,0.03737275160692475
w5f2e05f,Optimal,164.67619759900273,1.05,4.225807409302594,0.07432992798319402
w60c1428,Optimal,23.29763612680725,4.0,8.487676594185414,1.4023720920077437e-15
w64fee36,Optimal,211.65510184232858,0.1,34.3323873680735,8.524804826467474e-20
w66c749f,Optimal,130.9901039886166,1.45,7.474664017563975,0.11886863228858074
w674d7da,Optimal,380.4995503170121,0.05,15.202689426657257,1.0341524314189856e-16
w6826680,Optimal,134.66389084354967,1.75,2.7815508026807683,0.03925145230872021
w6956925,Optimal,134.98463881882975,1.6,3.2485350026668174,0.09636629243075848
w6e8ffbb,Optimal,153.59925824974172,2.05,1.6534619127655439,6.995267511553132e-16
w718f032,Optimal,194.96161036922746,1.0,5.993057859595888,0.18423080343756357
w7272d4a,Optimal,185.63945068877823,1.75,1.5918562434145436,0.03094858721404544
w771a1b9,Optimal,184.66013361687666,1.25,13.17555063973804,0.2808339117207833
w7966091,Optimal,118.14645037598139,1.15,6.5197153566310595,0.020735646138285307
w85f0641,Optimal,221.492016784152,0.85,3.034399277491413,0.02994361501019026
w87adde5,Optimal,123.89210921056636,1.9,2.5672241991568874,0.1065210251649354
w8a0cf46,Optimal,147.6194591289608,1.15,7.563899220839554,0.06339747622718776
w8c9c8db,Optimal,137.41316977900553,1.45,3.9149033556996597,0.018612230761459524
w8d47bcc,Optimal,175.8624314491633,0.1,49.99999999999999,0.39008640330661415
w8e9d208,Optimal,223.8601533202916,0.1,28.829703194851767,2.2846451273022904e-15
w8eb3fba,Optimal,169.0642575034018,0.8,7.39195216994271,0.1429012509195427
w97d2cbf,Optimal,196.07786173050602,0.45,7.062119353505223,2.0999496867568293e-15
w9dae565,Optimal,273.55619060922066,0.05,44.20068662797721,7.841660128955714e-16
wa2a15d0,Optimal,218.33897576007638,0.3,10.996777838535696,0.03545271858066771
wa84db29,Optimal,191.9773398621073,1.65,1.772260697320182,4.819633133251401e-18
waf11118,Optimal,145.52203433973165,0.8,10.331215854520146,0.0915501349621112
wb118747,Optimal,174.49033422395053,0.45,15.389931167288363,0.08660557679863562
wb16d184,Optimal,178.33342853583162,0.65,5.371868937202322,1.5485102820825269e-18
wb277461,Optimal,163.21903252583533,1.15,3.6364979281717464,1.0651079425326939e-21
wb6b351e,Optimal,258.46068562229914,0.1,21.334795170025632,0.030023392044452757
wb6f421e,Optimal,270.7109005182599,0.2,9.561347485423854,0.035865169913894344
wb7d56ca,Optimal,2.077875780359108e-5,100.0,0.15754395291315404,4.910565627314076e-16
wbb29510,Optimal,127.97745337292041,2.1,49.99999999999995,0.5705052537612236
wc85483e,Optimal,176.03364159474418,0.35,35.535603185684664,0.14423886993693877
wc9e7250,Optimal,177.9445256405808,1.2,22.51465823621791,0.23544965848304564
wcf2758c,Optimal,156.21102629353453,0.95,3.5233883342064494,1.3693791098128439e-18
wdd4ef06,Optimal,201.1158242515644,0.35,49.99999999999157,0.2084102503716969
wddb78b9,Optimal,222.34479479272835,1.1,12.244874332930442,0.3195285680215965
wdf3a36e,Optimal,2.077875780359108e-5,100.0,0.15754395291315404,4.910565627314076e-16
we95fcde,Optimal,192.8781483903733,0.15,29.25173749115244,0.040864987705671124
wf25d2c2,Optimal,282.25864240387057,0.25,48.250420218609456,0.47240127139433813
wf4961b6,Optimal,197.1705015868426,0.85,5.2427785746291695,0.03671869735390646
wf67f532,Optimal,120.78502496233645,1.3,49.99999999992981,0.1545290063015409
wfa3ed63,Optimal,144.09315760962934,1.6,2.770604158325278,1.1451760647401722e-15
