wid,model,fold,train_nll,test_nll,θ_depth,β_depth,β_lead,θ_sat,β_click,β_sat,θ_lead,ε
w09ef317,BestFirst,1,86.31643729730199,13.919463751706255,3.551054765632457e-14,1.5126497626960187e-16,0.35141706328745415,1.4833416602516102e-14,0.24014033134736842,1.4803263116515347e-17,4.123016636449186,0.0010000000000003559
w09ef317,BestFirst,2,82.8327155671242,17.224383589270925,2.2887499112666777e-14,1.8428459128796758e-16,0.27888628297622625,4.466631930789591e-17,0.2429146349649498,5.718459362870982e-18,4.6163184985115935,0.0010000000000000243
w09ef317,BestFirst,3,77.39482176950693,23.127020159358885,4.9685934212673215e-15,5.177825312550956e-16,0.1813808577556833,1.4926848321440948e-12,0.27186784508323364,0.027863887869244233,6.523982870578086,0.0010000000000001353
w09ef317,BestFirst,4,82.90618400746179,17.463101787506595,2.1476033165459588e-14,3.692037821086516e-18,0.3728328280510538,2.8690501456357126e-19,0.2371343243086226,0.02968566348873765,3.608916955718718,0.001000000000000047
w09ef317,BestFirst,5,69.44577587223479,30.83256146517951,2.4999927585600875e-19,7.695794903109858e-16,0.39445893526848846,2.2870423164148982e-17,0.24057445485667633,4.634080157144568e-16,2.7985423882519154,0.0010000000000001592
w0c47aeb,BestFirst,1,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BestFirst,2,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BestFirst,3,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BestFirst,4,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BestFirst,5,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w1709267,BestFirst,1,160.49907216034353,45.10880214093468,1.1000795784116798e-12,0.7308480714004603,0.3114109360479743,4.735621202099818,0.284656203995191,0.14249420880573163,29.999999999999993,0.001000000000000076
w1709267,BestFirst,2,159.28611578637194,47.75364774715832,1.1959899735785022e-20,0.8410046160446704,0.43800482758569953,5.611143311976325,0.25924419801113746,0.27581774950370846,29.999999999999996,0.0010000000000000002
