wid,model,fold,train_nll,test_nll,θ_depth,β_depth,β_lead,θ_sat,β_click,β_sat,θ_lead,ε
w09ef317,DepthFirst,1,102.40053089267222,14.624851242655007,1.0585408419479092e-14,9.185992825228187e-19,0.35158294169437065,9.078360702891094e-14,2.632785594292828e-20,6.745440708039055e-19,4.120499765359093,0.0010000000000000002
w09ef317,DepthFirst,2,96.72175766927155,20.127916754869837,4.506030894651464e-14,4.217079213435581e-16,0.27899209086122106,4.86407716764373e-19,1.2845430714376417e-17,3.2577808654304417e-53,4.613857574834433,0.001000000000000002
w09ef317,DepthFirst,3,89.77813951328397,27.444658408558258,5.194100843164623e-28,1.3457241318850455e-35,0.18137999014236783,1.9678820906110617e-48,5.148825668065577e-58,0.027916386723625702,6.523666963922321,0.0010000000000000002
w09ef317,DepthFirst,4,94.83068151219217,22.32211519616319,3.319793331339132e-13,6.449825263979833e-16,0.3730694134312663,1.8252418030644989e-13,1.916249605614086e-17,0.02970087415163104,3.6062748364913166,0.0010000000000158632
w09ef317,DepthFirst,5,82.41324754182246,34.655298617304034,5.034162793536844e-17,6.385050309351423e-16,0.39474876450806995,6.699459915544379e-13,2.2934953583918103e-19,9.872282763769157e-16,2.795904637024687,0.0010000000000017209
w0c47aeb,DepthFirst,1,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,DepthFirst,2,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,DepthFirst,3,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,DepthFirst,4,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,DepthFirst,5,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w1709267,DepthFirst,1,230.07407423865436,56.43789206133608,6.294675121252385e-14,0.7308676575484874,0.3115452221141701,4.726499915437211,0.04390956938983946,0.1425721004769836,29.999999999999996,0.0010000000000000586
w1709267,DepthFirst,2,226.44148819126144,61.656676363561694,3.8599930514460274e-13,0.8410743705433078,0.43842503698101726,5.596691356546711,0.03372544519652106,0.27600315754147153,29.99999999999849,0.0010000000000000022
w1709267,DepthFirst,3,229.10545576356418,57.22321259547282,4.438077883062648e-16,0.5982712793294778,0.34827298412085084,7.857885383938382e-28,0.036980289423271924,0.16935848059783953,29.99999999983444,0.0010000000000000002
w1709267,DepthFirst,4,219.00568427056763,69.64771100585963,4.542992933988455e-14,0.7860753106917642,0.4556286560867784,3.0760806679565086e-18,0.03864388701960573,0.06997211776486845,24.470755097909443,0.0010000000000000002
w1709267,DepthFirst,5,236.87695966601888,49.62988199756702,5.240633127585533e-15,0.7900517080520145,0.2965579402322477,6.90800308678234,0.032154073326758584,0.18267510144328764,29.9999999999979,0.00100000000000029
w1bbb0ad,DepthFirst,1,179.89050135421127,27.45148763239627,3.009356561431879e-13,2.9999999999999947,0.5722947340691487,3.0181979633922147e-12,0.019697197956149028,0.28781967859229013,27.727124296720074,0.03189788100984994
w1bbb0ad,DepthFirst,2,164.78600083740258,42.53384579289788,1.2140523469170112e-12,2.999999999999997,0.6202903983289398,5.488966392227868e-15,0.021533972173700074,0.4101001561713695,29.2629041527475,0.055866927867529795
w1bbb0ad,DepthFirst,3,159.43323032693752,49.281986118999576,3.961788252465743e-14,0.6563731787448341,1.6253465531103002,1.7857271960440878e-13,0.04074202875764802,0.21144951639452844,12.461775689242707,0.0365393245667676
w1bbb0ad,DepthFirst,4,160.38838830416907,48.85787397436186,6.251997488818845e-15,2.068582278291534,0.5041786975637605,2.8056248895775e-13,0.05769135844566114,0.2558115515707979,25.349219640489075,0.0010000000000000796
w1bbb0ad,DepthFirst,5,156.57537377277683,50.43847873332175,5.488600803421069e-13,2.9999999999999996,0.5084223215127728,3.3130104929431482e-12,0.03854349106078186,0.26466527051451616,27.87851443313308,0.045751261435835924
w20c5bf9,DepthFirst,1,117.51963830199061,35.143371877354944,1.8695958839053182,2.9999999999999996,0.25129141134432237,1.1364514495795118e-11,0.013123546273255415,0.12585121203457125,1.9745312151071864e-22,0.0010000000000000002
w20c5bf9,DepthFirst,2,125.29529943406853,26.408757316906428,1.9449801514932843,2.9999999999999996,0.1720075071956017,2.306308836400594e-13,7.883223648278867e-18,0.1680083685162251,9.685097097905613e-13,0.0010000000000003556
w20c5bf9,DepthFirst,3,123.24808967910943,28.398023644325132,2.0628502258300307,2.9999999999999996,0.24213443627538864,1.1662227891506516e-13,3.540948476656841e-18,0.18856053238450635,4.730403595839448e-15,0.0010000000000000002
w20c5bf9,DepthFirst,4,122.35794185162361,29.23404518083444,1.9897774380010023,2.9999999999999964,0.2904763639345878,1.142668306656737e-14,2.4740593077064537e-16,0.162518237483176,4.929429641794281e-13,0.0010000000000003723
