wid,model,fold,train_nll,test_nll,θ_depth,β_depth,β_lead,θ_sat,β_click,β_sat,θ_lead,ε
w09ef317,BreadthFirst,1,98.2344543610506,14.125455064425319,2.172882008264074e-14,4.775425251663829e-15,0.3517537206572021,3.1852063126272447e-15,0.0869107062646719,7.624482013053727e-16,4.118486408599277,0.0010000000000565383
w09ef317,BreadthFirst,2,92.67959920431653,19.500803210263246,5.528701295406334e-13,1.1369045720590855e-17,0.2791066661788205,1.592507231388626e-12,0.0879627882368433,6.296123405118888e-17,4.611939865287193,0.0010000000000055522
w09ef317,BreadthFirst,3,86.13028546199027,26.979515881025403,1.2518486199658816e-14,1.455432430579517e-15,0.18000201222143897,2.8675002644491003e-11,0.18918245002112388,0.13426825827782998,7.001537059050595,0.3471482819105204
w09ef317,BreadthFirst,4,90.39527464547825,22.088586228184585,2.612285130582591e-18,1.794504484982251e-26,0.37308743474097616,3.685846153973654e-24,0.09439162564067682,0.029755258037179565,3.6065188915100954,0.0010000000000000002
w09ef317,BreadthFirst,5,79.35709652431123,33.2265829613839,7.787480988257444e-14,3.2091673689728374e-15,1.1514573859237869,1.734401584334472e-12,0.16081120470700427,0.03142157536167224,0.9286542565528048,0.27200228292085316
w0c47aeb,BreadthFirst,1,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BreadthFirst,2,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BreadthFirst,3,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BreadthFirst,4,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w0c47aeb,BreadthFirst,5,0.7900433025309296,0.19751082563273245,2.7727607187200833e-17,2.9999999999999996,1.897737043292231e-15,1.9493372425941545e-14,6.016792832286922e-19,1.897231891166465e-15,1.9359907582279748e-14,0.0010000000000000046
w1709267,BreadthFirst,1,233.3430471397908,56.31083104391753,4.210726641519688e-13,0.7310203988139311,0.3114963249393318,4.734460347857297,1.486397877351918e-19,0.14258159737204204,29.99999999999937,0.0010000000000002915
w1709267,BreadthFirst,2,228.71032845015003,62.62329414472917,6.276393591976372e-14,0.8412145051715746,0.43828927818624225,5.603251503182316,1.826935557170122e-22,0.2759767947946573,29.999999999999996,0.0010000000000000002
w1709267,BreadthFirst,3,231.82132873232797,57.76648950075148,3.0704288068804116e-22,0.5982462544048746,0.3482751964619031,5.193414276441726e-14,1.3933341236987964e-20,0.16936380364095371,29.99999999999999,0.0010000000000000002
w1709267,BreadthFirst,4,221.81350918079818,70.08501769964701,2.431708429981549e-14,0.7862201899419291,0.4552163013055289,9.700218226636798e-13,2.680379863051494e-16,0.07001794828622193,24.480582573108908,0.001000000000000001
w1709267,BreadthFirst,5,239.00578820527537,50.70809139161907,2.098077407939554e-12,0.7901374175519157,0.2965192386163625,6.912078302849801,3.7903163736597447e-16,0.18267185736280794,29.99999999998274,0.0010000000000012935
w1bbb0ad,BreadthFirst,1,180.37775328621694,28.46770709303122,2.6404417397202144e-18,2.999999999999994,0.5714820250107314,2.244351802764767e-12,7.313103542036446e-17,0.28768674417938056,27.754267224800156,0.031451833683582855
w1bbb0ad,BreadthFirst,2,165.26911894677264,43.613932320567145,4.686068542018204e-19,2.9999999999999996,0.6178412642664862,4.929737355710296e-13,1.2798318898651396e-17,0.40896504703160597,29.315572799784718,0.05466139324831955
w1bbb0ad,BreadthFirst,3,161.3646308847732,49.6777590625144,1.1984680517873765e-14,0.6439894119433889,1.6233524689373637,9.439671421228459e-12,1.8571750142358928e-20,0.21038286157220804,12.44882085506399,0.035099979113818125
w1bbb0ad,BreadthFirst,4,164.55961679244655,45.68038710082653,1.0114401905329515e-21,2.069159049550797,0.5040580099200929,2.3875670922690266e-19,1.424519995628413e-18,0.25583926443321353,25.356409691143543,0.0010000000000000863
w1bbb0ad,BreadthFirst,5,158.240517548256,50.66750760854885,9.061574741992814e-15,2.999999999999909,0.5041710673915439,7.397089172990115e-15,2.6160393889021493e-22,0.2636868758799899,28.00178617740265,0.04390036004910495
w20c5bf9,BreadthFirst,1,117.69081108994662,34.28260414516726,1.869595310071457,2.9999999999999996,0.25130346736251585,1.837358839118745e-16,3.880898574516597e-20,0.12585738898562382,2.040787458152596e-12,0.0010000000000001162
w20c5bf9,BreadthFirst,2,123.96841837310717,28.145589505580613,1.9449717384270133,2.9999999999999996,0.17206075623539263,1.8427020507317735e-12,0.0387361685232347,0.16802808242337694,1.3059403636388882e-12,0.0010000000000000002
w20c5bf9,BreadthFirst,3,122.01727419550069,29.880451970577838,2.0628533025189664,2.9999999999999996,0.2421924005089272,2.714083502947466e-13,0.035663262560789,0.18858997085212487,4.939061151823438e-14,0.0010000000000033814
w20c5bf9,BreadthFirst,4,122.05750959639086,29.278869294155758,1.989774550052448,2.9999999999999893,0.2904986849584965,3.934175521805253e-13,0.01704786339893271,0.16252525049077848,5.493039322633388e-12,0.0010000000000000002
