,bonus,worker_id,assignment_id,wid
2,0.595,ALHS0TDN03O9K,3VBEN272MMN5ZMUSPZHBMYROW4BGSL,w00fc5e9
5,0,A29T95T77TDA6B,31EUONYN2XR9JRSU7DZO2UKXMPUVOG,w645f5ae
8,1.0550000000000002,A1FNNL4YJGBU8U,3NG53N1RLX7TTF8IEK1TZG5FLWQ8P6,wb2ff73c
11,1.185,A90G0G4SJ26BM,3RKNTXVS3OMLNAFEDYTJS90FKP0A4T,we063ee9
14,0,AWTGJ45ZWUCHH,3P1L2B7AD3D6NMG0T9XIFLMVO9LLO9,wddd5556
17,1.045,A2ZYUU30WYDYI0,3ZY8KE4ISLRC435AMQRSRZFX1QCVQO,w269f6bf
20,0.9299999999999999,AUFUUD4WG9CVO,3SB5N7Y3O5S5YDAGGXYRCSL517R0G7,wdae73bf
23,1.04,AYW62R027PUT1,35USIKEBNT46MGDH5QR3BD4TFS7N6N,w85f0641
28,0.97,AAKBYJD64R6K,3VELCLL3GM7ZR2Z31WW98C435PZF12,w0edd1e4
33,0,A24YH95DSHXH9V,3UNH76FOCUT2NI2NZ87VHPZM39MYMI,w354da62
36,0,ARWN6TT8EWCFJ,32ZKVD547HB5OO12JYOWDFSFI9O3BT,w1d17adc
39,0.85,A1BXEU20OCUGVZ,3T111IHZ5GEEJX77W4BW47050N0R9A,wac36d7d
42,0.86,A2Q4Z6CADBW6WD,3WS1NTTKE00ZKDEL5DS9U7LT0SR0F8,w98424d2
45,0.88,A3V57BKH58EUIY,39O5D9O87VGOYTT8XYKROZYX0UO3C0,w0e08b56
48,0.6,A3EZ3BRM1C5WKV,3R6BYFZZP907H3KW8PHG3L84AZBFXH,wf4d7c65
51,1.0199999999999998,A2W3I2GBGDB637,3FE7TXL1LKB37C78YG7HPUIM4SJQ2B,w0c105b0
54,1.1300000000000001,A2FXD55FJV1RSV,3G0WWMR1UX8ZWYW1KZ51HILKFNANQZ,wbe0cd7b
57,0,A31CKK947PHBYJ,3XC1O3LBOUAM0EL8PQJH9VSIUZ9LT9,wf185045
60,0.54,A388K114JQOWYY,3AMW0RGHOFQEWMVMKMQCHDVAARONP8,wd24dc3a
65,1.04,A32QWM7BWCSPTS,3XC1O3LBOUAM0EL8PQJH9VSIO2ETLM,wca48385
68,0.91,APS21FRK7TBKW,34S9DKFK75D850NNB9MVU4OM8ZWYNI,wb2b9281
71,0,AMYURTQIMAC8T,31Z0PCVWUM3NLTW6LWI7QQAHZK57TX,w7822cf3
74,1.075,A3KH1OG87C8DCM,3TK8OJTYM39R4R4VMDC3RUPNQXVVP2,wed9b70f
77,0.835,A2R8IV2PWFTY00,3YDTZAI2WZ4PTM2EHF0QH87CAXT14T,wf90f4a6
80,0.88,A1VVXZYA3TPHP0,3SPJ033423RCMAW2WBU31X755IWYJV,wb0aa970
83,0.7599999999999999,AI5RMOS8R652G,3570Y55XZR72V861O5904KFPDQEYGQ,wb47c9ec
86,0.925,A1TJZFTCYX4ASU,3TK8OJTYM39R4R4VMDC3RUPNWUQVPX,w0cfe586
97,1.06,AJAKX491SGILM,3BF51CHDTXYJY95R03G9XSX6G740H6,w41073ce
102,0.865,A3HQXCWOIQKT4F,3PJUZCGDJ8481SSBXV5WDQ509A098X,wea7cc17
105,0.78,A33AZCOKCCTUXV,34T446B1C22SH1UBEB28M10QWXRC0U,wa4d2e93
108,0,AKZAA5LI5LPK1,3X1FV8S5JZFLREBWJUMGXLBVOLWGV0,wca2ac0d
113,1.1400000000000001,A381DSGY6RMEWZ,3LQ8PUHQFNGU54M74T5F3WX2222HI1,w6a6f03b
116,1,A2DVV59R1CQU6T,3HVVDCPGTGG60DS7858733UEWW5YTZ,w67067c6
119,1.1,AQ6IRR0EOFP8Q,3VAR3R6G1RPB8FWHZKOEAG0P49M8OA,wc798403
124,0,A3SFO857J5HVAH,34FNN24DCOX4FBHH79Q90NO0NBRY5N,wdf7136c
127,0.725,A1J8TVICSRC70W,3HMIGG0U4NUN2T0J57XCC7YRP1SY8P,w11216f8
130,0.795,AA4O2W236E3FW,3EQHHY4HQUG4TKWHD343TNHWBXUG5T,wd26076a
133,1.035,A15SUPIZ05ZFCD,3483FV8BEG7AXUOOJ7TJJP1VX9062G,w4018144
136,0.6599999999999999,A3MHKFOJIXO7QN,3WEV0KO0OOG2N2K1N9G3GDORCPMDSI,w44f9f1f
147,1.205,A2WC2NO555XU3J,3RJSC4XJ12I7IGLWZ1F08VUG4G750H,w9221b66
150,0,APTPL5TCVJ7J9,3FTF2T8WLT6JRTOTVYL2R68MY0PW9U,w7c3a8c2
153,0.99,ALV4DAF8DIJ37,3SLE99ER0P169H8V45J5HGXUWJABZE,wcc0a8a9
156,1.1300000000000001,A1Q4ZOXZ0Y7K6I,3R6P78PK7MZ6EM77EZM1W3NAR0GGTK,w8e714fc
163,0.825,A1JV64BL3WCK0G,3MH9DQ757Y0LEZMWE4CB1Z9CAENGUB,waf34bbd
168,0.7000000000000001,A2JI5RNPPXE8QE,3K9FOBBF2J7O51GOSUX50WMQYZGLNU,w3c907c4
175,1.2000000000000002,A1S1O9ZCONEGE3,3A4NIXBJ78NINJVOGTI5NHXQT96LMU,w4ad754a
178,0.895,A2615YW1YERQBO,333U7HK6IB39OZ1B0F7POCX4G69JD8,w3325f9b
181,0.92,A2YCMT5BPA0AG9,3F0BG9B9MRBJ2FV0V256Y72WEHMY72,wecf97df
184,0.7350000000000001,A1C7XI68SED8JE,3AAPLD8UCE5KEI2IY54JH3ZBDI0THA,w9404352
191,0,A2JSMMELB161IW,369J354OFFY0COWVIME8LTVW7S5G69,wfa64a9e
196,0.845,A30KYQGABO7JER,3S96KQ6I9OS322XGC9LTQIKDE80DT7,wf9223a1
201,0.79,A1DUPOUC9RNU4L,32ZKVD547HB5OO12JYOWDFSFHOE3BC,w7659d96
206,0.585,A325M7UFJV4OFW,345LHZDEDZGKKNA8JP5RI5K369I3UQ,w4eb41a0
209,0.74,A1PLQGQ95NICAF,39OWYR0EPMFWH8A6DL3IMZFDC55FYN,wb505598
212,1.0050000000000001,A2NGMLBFZ3YQP5,3U0SRXB7CFTZ8ZB1XEU1M8VPB9CNR0,w128b479
215,0.775,A1FS8SBR4SDWYG,3KKG4CDWKKM7IR59LSFJWEPVE6C490,w2fc0097
218,1.1500000000000001,A270HX8LH9LJ8W,3IGI0VL6498WBMJL5MDXSDQK0MSNOR,w23dd17c
221,0,ALVDNMRPASYTS,3PZDLQMM0V9ZDBXPTY6M5PT50EOC20,w20655fb
226,4.709999999999998,A2E5FHPR6O552,31LVTDXBL9Y9KZ8GL1EM9GR06ECLRW,wa61dfe8
229,0.855,A3N0QZ9ZKUCTCQ,3WYP994K19F0YFHVCS0EST20J62Y63,wa5891e7
232,0.715,A3HHDPKL3O3O7Y,35K3O9HUAD1YB3TFDKROFWNXUU5FEF,w04e764c
237,0.53,A30RAYNDOWQ61S,3JBT3HLQFAQ8DB95NA16C02JKAWZPB,wc0cbb18
240,0,AKYGMCH7D9Y63,3U8YCDAGXR4WB24UJT3366P77Z0Q02,w309f6d9
243,0.905,A2XQ3CFB5HT2ZQ,3KRVW3HTZP95RWQE02F6Z3BLSQMSM4,w39f14ee
246,0,A3HV6WJ4V1625R,3A7Y0R2P2QCNM56SRF81IJ0W3BSXJC,w0a6cb3f
251,0.8650000000000001,A1EP3XESXAG0EP,3WAKVUDHUY42L6BVL18HVMWJIYC7UO,w76daa8c
256,0.9149999999999999,A2YTQDLACTLIBA,3YDGXNSEO1I74MMZG095WIUKU5V48M,w11b8946
259,1.08,A12ASB8854TT4,3SNLUL3WO6B10R0XPV9REREKDIGULJ,w0f9b900
262,1.14,A1M682B2WUSYJP,3VELCLL3GM7ZR2Z31WW98C435PXF10,wa319bd1
267,0.93,A3UDUHUVFKD833,3OCHAWUVGQ8IXPCA908DJY09I0SXKB,wd4bf18a
270,0.79,A1LE6AUI3CJNIT,3N4BPTXIOAGQGLIF4VXQZR15OIBUKG,w12bdccb
273,1.115,A3L0DCUXI7X3A9,3HYA4D452T76GNHZK0WNDVE8XVBF2H,wf9c1bac
276,0,A3F09K6P10Z0AW,3C44YUNSI3D5AA49VSC9L8JGWSNDPR,wd176533
279,0.905,A30M9SZYJKFDS9,34BBWHLWHCZC2UHWZSRF4Z7PHUYIWT,w6a2671b
282,0,A3TSQF1CLQ0E1E,3JAOYWH7VKS3GZCURKE0IVR60X7L9K,wd6773df
287,1.2550000000000001,A23MOF1WG1Z6KB,3IXQG4FA2VMR3QQI07P64SV1O3TB9N,w362e008
292,0.76,AB66CTVQ90RCV,3TXWC2NHN1EQKC7KBTB1UH51SRF9SM,w1f73eaa
295,1.1,A1H72Y9Z5NJXDS,3VNXK88KKE66C4OO5OG654P8RV9V9D,wa4544ec
