wid,model,nll,β_term,β_click,ε,θ_term
w016e1dc,DepthFirst,302.1598844210205,0.38763610168211426,9.270116298666436e-19,2.6315067035516354e-16,14.977090152462253
w0721409,DepthFirst,235.29755942669973,0.2227268260179577,0.21227914818702923,7.618435536440569e-16,14.369846230872852
w2e2a097,DepthFirst,225.3037022644149,0.2393963107951618,1.8795100270788079,0.03160583708173381,29.999999999999993
w2e5bd74,DepthFirst,321.6735527253066,0.2695936221384624,0.3506567044072624,4.205914080065491e-15,20.467095109620946
w4cbce03,DepthFirst,439.2032439250672,0.25053943864776196,5.317406389852046e-22,1.0869228199555636e-22,29.999999999999996
w4e2cc22,DepthFirst,454.37537804710985,2.999999999999689,4.021320890073957e-22,0.04481998463268317,29.99999999999904
w4ef5c86,DepthFirst,238.98649420164725,0.7116412791704341,0.16886374408438984,0.05288796454215209,11.879409761208896
w50cf5b6,DepthFirst,314.2376190726262,2.9999999966237327,0.9567451142593587,0.04291945925768274,29.999999999999996
w5300d05,DepthFirst,350.8165606799828,0.2505424031224876,0.39954385173873186,1.4759155786745697e-16,29.999999999999996
w5637ebe,DepthFirst,366.18134456863885,0.15879608459959452,4.93444780880686e-16,8.368380489807456e-16,28.24713363545299
w63b19f4,DepthFirst,237.61913210165935,0.5117559034307938,0.20676929785367282,0.023578600650255438,8.393527367558042
w67067c6,DepthFirst,237.61894825177305,0.07250323634491439,4.324478688978986e-20,4.577947490767529e-17,29.99999999999999
w69d989c,DepthFirst,289.129491606996,0.3033602208440852,3.5837317106231065e-23,6.707373187997224e-20,17.92732315818175
w6f3c781,DepthFirst,372.25368623169027,0.1597209732271166,2.9167369655177833e-16,7.788312149305966e-22,29.29516622846808
w730a12b,DepthFirst,320.9574729571867,0.19299049256651818,0.8375403628467746,2.0849432788284726e-15,29.999999999999996
w7b427db,DepthFirst,365.48267057428836,0.18281134825477705,0.20600129096068417,3.0319109756806494e-20,29.99999999999997
w82645ad,DepthFirst,330.330207313745,0.27242275028601515,0.5356753480001328,7.458820047093224e-15,25.83789294129652
w863032d,DepthFirst,180.67278571216576,0.41488303868344856,0.8177075600843111,3.5833677951136813e-16,11.136652224082656
w88ac202,DepthFirst,343.22507978241606,0.2531572840629724,0.06745570540527471,6.613044916066074e-16,27.03370836190824
w898e408,DepthFirst,259.5678394599283,0.5388229322438061,2.026767156451407e-20,2.240776324861484e-22,11.627119189417515
w8c6ad3c,DepthFirst,183.99961939620042,0.33329926105036384,0.7296686499159255,4.840331537521091e-16,12.052900966746083
w9cab0b7,DepthFirst,147.15112742202194,0.4494380427933924,1.5094909637526478e-16,3.584285246774237e-20,3.156186296371823
wae0e5ce,DepthFirst,226.66721527091718,0.6677292372692865,5.305625780688259e-16,0.027106539248103568,7.761737418598248
wb212739,DepthFirst,185.24517734556056,0.42839559567443136,1.2195731377990617,0.1868798231856431,8.246218201653774
wb52cf71,DepthFirst,258.84564912790086,0.628823578102481,2.6153874660456654e-16,0.08945418091485366,7.690748449054718
wba9259f,DepthFirst,228.0363601271458,0.3209683918546538,0.4705267683308971,2.7107547687642116e-15,12.08066055698588
wbade055,DepthFirst,359.50657284114413,0.4078947812133416,1.112978316167835e-16,0.09348704443642654,22.824291608737823
wbcb927c,DepthFirst,303.45854506615643,0.2764376026718379,1.3972014187478157e-26,3.2198934067881487e-24,15.376253427725933
wbdcc41a,DepthFirst,225.0877006677112,0.3170812878651519,0.5985680908910204,1.3457786292805989e-18,12.010166406478696
wc211e51,DepthFirst,245.05691288436432,0.3268624932595792,0.2959871567700382,1.4909671457137478e-17,11.691904413972251
wd40f616,DepthFirst,225.74193545378785,0.2876852646281847,2.0447329623769006,0.049188688361861965,29.999999999999993
wd44e346,DepthFirst,378.8848914846956,0.3054845015285871,4.661310086922131e-15,1.4244595898367942e-16,29.999999999999996
wd576ce3,DepthFirst,234.97935509970603,0.243900722858426,0.9145746221875432,6.107213997632632e-19,14.468501287681423
wdc8a5cf,DepthFirst,341.23031772648716,0.22212078504578486,1.6014753654119824e-16,2.2067668365297e-19,26.510306607897352
we2a3146,DepthFirst,258.88012899044924,0.3740931137952999,0.48162095980678155,1.138337292038654e-15,16.224779136168262
we997587,DepthFirst,387.2771950288481,0.2443322441014812,0.05446343488606434,3.6110088984084894e-18,29.999999999999996
wf70f26a,DepthFirst,297.9240536773787,0.32942843154170054,0.0581972574056494,4.21715068551221e-17,18.381318212619043
