wid,model,nll,cost,β,ε
w016e1dc,Optimal,282.59941603163116,0.73611507,2.1876520285987886,4.676086628681042e-16
w0721409,Optimal,193.46396447174675,1.22315077,2.6045214211244563,0.12415656852795594
w2e2a097,Optimal,296.4038261864237,0.0,49.99999999999999,4.5405273665073405e-20
w2e5bd74,Optimal,317.01643165589763,0.62149019,1.4042230925220338,4.167905361421165e-16
w4cbce03,Optimal,445.0963216151509,0.0,49.98567714693971,5.839868948810838e-19
w4e2cc22,Optimal,462.0741376464994,0.0,49.99442275849009,5.833196247340361e-22
w4ef5c86,Optimal,206.43536390367393,0.62149019,4.050539593032033,0.02528747882484003
w50cf5b6,Optimal,360.7375203857053,0.0,49.99999979153472,0.048047095975310504
w5300d05,Optimal,361.02654495317523,0.00140289,49.99999999996971,3.5507241284701166e-19
w5637ebe,Optimal,349.40657701577953,0.16045116,6.117335055969784,5.329008445463005e-22
w63b19f4,Optimal,215.3098401134214,1.22315077,15.671636726293322,0.40290532922331546
w67067c6,Optimal,239.72426963788047,1.44874323,0.20012071960970024,1.3355191348740835e-14
w69d989c,Optimal,222.58541610843002,0.05811313,47.84875151680371,1.1540120524950807e-18
w6f3c781,Optimal,349.77484925990683,0.02104775,44.56955472304761,3.081077933542837e-16
w730a12b,Optimal,340.6641551646806,0.00196809,48.02096040299265,1.1593498237800388e-19
w7b427db,Optimal,351.7481339178852,0.01500316,49.999999999997854,7.614315078631932e-17
w82645ad,Optimal,331.97426858977525,0.01777028,43.93483760468179,9.038087067389928e-16
w863032d,Optimal,144.43100487910004,1.22315077,18.012320613790937,0.2141261122772105
w88ac202,Optimal,343.6294780071268,0.01500316,47.59872765447871,0.02227864008513587
w898e408,Optimal,183.91860091870387,0.44300785,25.8569788644768,0.13004485483322623
w8c6ad3c,Optimal,149.4586379279954,1.44874323,8.493282022068366,0.23758272409007436
w9cab0b7,Optimal,147.73360910001048,1.44874323,2.5859107615243686,0.7060133642545143
wae0e5ce,Optimal,175.8865984861243,0.87188084,4.094931748749734,0.026626087122349488
wb212739,Optimal,205.0133307418597,1.44874323,49.99999999999877,0.6288020967302314
wb52cf71,Optimal,233.38771697871343,1.22315077,1.6065670372439373,0.0314756042737431
wba9259f,Optimal,220.22710029834298,1.71594297,0.9794613187185631,4.942461895019957e-16
wbade055,Optimal,362.4387332165099,0.02104775,44.69266735648407,0.1254688497673323
wbcb927c,Optimal,269.33815137606547,0.11437207,49.99999999999965,0.3161877395727838
wbdcc41a,Optimal,218.64998906114653,1.44874323,9.418827152641612,0.45746923071683704
wc211e51,Optimal,202.18312918210307,1.22315077,2.2995241432741533,0.043422836274584965
wd40f616,Optimal,331.89898207888746,0.0,2.2593499327539304,2.359115851323188e-22
wd44e346,Optimal,394.37727193825987,0.00643614,49.81089167825537,3.4279893017872547e-19
wd576ce3,Optimal,236.0527034679965,1.44874323,1.008535564639903,4.3052935443902946e-21
wdc8a5cf,Optimal,327.9170510870537,0.22509493,4.83164786160481,3.531223990994893e-19
we2a3146,Optimal,231.682788973593,0.87188084,2.445524839422914,5.357479630874632e-16
we997587,Optimal,395.0260468171024,0.0,49.996333580162,2.728911558374204e-19
wf70f26a,Optimal,250.58338070891568,0.11437207,17.80583677780088,1.4075632628556147e-18
